id_orgao,ano_licitacao,nr_licitacao,nr_item,ds_item,qt_itens_licitacao,sg_unidade_medida,vl_unitario_homologado,vl_total_homologado
47600,2017,12,3,"PRESTAÇÃO DE SERVIÇOS DE SAÚDE-para fornecimento de até  100 exames, por mês, de Chamada Pública para Prestadores de Serviços de Exame de Ecocardiografia Transtorácica, com doppler a cores",100.00,UN,"",""
74700,2017,2,4,"Alho de primeira qualidade - em bom estado para consumo, sem partes estragadas e podres. O produto não deverá apresentar umidade, problemas com coloração (escura), presença de impurezas, odor desagradável estar machucado, presença de dentes murchos e perfurados (KG).",20.00,UN,28.50,570.00
74700,2017,2,10,"Cebola - in natura, em bom estado de conservação, sem sujidades, sem partes podres, não estando """"murcho"""", embalado adequadamente em embalagens plásticas fechadas e limpas de 1 kg.",80.00,KG,4.00,320.00
74700,2017,2,16,"Limão taiti para suco - fruta in natura, sem sujidades, sem partes podres, sem amadurecimento excessivo ou verde que impossibilite o consumo, sem gomos secos, embalado adequadamente em plástico fechado e limpo (kg).",150.00,KG,4.25,637.50
74700,2017,2,19,"Milho verde com espiga - milho na espiga, sem sujidades, descascado, acondicionado em embalagens plásticas fechadas e limpas (unidade).",60.00,UN,1.50,90.00
74700,2017,2,23,"Repolho - vegetal em bom estado, sem folhas esmagadas, estragadas, sem sujidades e partes podres ou insetos, embalado adequadamente, limpo (kg).",50.00,KG,3.93,196.50
74700,2017,2,1,"Açúcar tipo mascavo - composição: origem vegetal, sacarose de cana-de-açúcar, 100% natural com fervura de melado. Embalagem de 1 kg.",20.00,KG,6.50,130.00
74700,2017,2,7,"Beterraba - vegetal em bom estado para consumo, casca lisa, tamanho médio a grande, isenta de fungos e indícios de germinação (kg). ",50.00,KG,3.80,190.00
74700,2017,2,8,"Bolacha caseira - simples, sem glace ou cobertura, não deve apresentar umidade, esmagamento, bolores, devidamente acondicionados em embalagens fechadas, limpas e etiquetadas. Embalagem de 1 kg.",50.00,KG,0.00,0.00
74700,2017,2,9,"Brócolis - vegetal em bom estado para consumo, tamanho médio a grande, isenta de fungos (unidade).",50.00,UN,0.00,0.00
74700,2017,2,11,"Cenoura - vegetal em bom estado para consumo, casca lisa, tamanho médio a grande, isenta de fungos e indícios de germinação (kg)",80.00,KG,3.75,300.00
74700,2017,2,13,"Cuca caseira - simples, sem recheio, não deve apresentar umidade, esmagamento, bolores, devidamente acondicionados em embalagens fechadas, limpas e etiquetadas. Embalagens de 1 kg",40.00,UN,7.50,300.00
74700,2017,2,17,"Massa tipo macarrão caseiro - massa seca, não deve apresentar esmagamento, sem umidade, em embalagens plásticas fechadas, limpas e etiquetadas. Embalagem de 1 kg.",50.00,KG,3.70,185.00
74700,2017,2,18,"Massa tipo conchinha - massa seca, não deve apresentar esmagamentos, sem umidade, devidamente embalada e etiquetada. Embalagem de 1 kg.",30.00,KG,0.00,0.00
74700,2017,2,22,"Tomate - vegetal em bom estado íntegro, livre de partes esmagadas, estragadas, sem sujidades ou com amadurecimento excessivo ou verde para consumo, embalado adequadamente em embalagens plásticas fechadas e limpas de 1 kg.",80.00,KG,4.62,369.60
74700,2017,2,24,"Pão fatiado integral - pacote de 500g - acondicionado em embalagens plásticas etiquetadas, fechadas e limpas, contendo fatias de 25-30g, não devendo apresentar esmagamento, partes deterioradas (bolor, umidade).",60.00,UN,4.75,285.00
74700,2017,2,25,"Pão tipo cachorro quente - 50g cada, não deve apresentar esmagamento, bolores, umidade, acondicionados em embalagens plásticas fechadas e limpas.",600.00,UN,0.73,438.00
74700,2017,2,26,"Queijo mussarela fatiado - pacotes de 1 kg, não deve apresentar esmagamento, estar devidamente embalado.",15.00,KG,0.00,0.00
74700,2017,2,27,"Suco de uva concentrado 2 l - não deve apresentar vazamento, embalagem amassada, aberta, deve ser composto de suco de uva concentrado e agua. Não deve ser fermentado, não alcoólico, sem açúcar e isento de conservantes e corantes. Homogeneizado e pasteurizado, não contendo glúten.",20.00,UN,13.00,260.00
52600,2017,3,16,"BEBIDA LÁCTEA: SABORES DIVERSOS A COMBINAR NA ORDEM DE COMPRA, EMBALAGEM PLÁSTICA, DATA DE VALIDADE, PESO LÍQUIDO DE 1 LITRO.",3100.00,UN,"",""
52600,2017,3,20,QUEIJO MUSSARELA FATIADO: FABRICADO COM LEITE PASTEURIZADO MANIPULADAS EM CONDIÇÕES HIGIÊNICAS SATISFATÓRIAS,100.00,KG,"",""
62600,2017,2,7,"Arroz parboilizado, orgânico, tipo 1, classe longo fino, embalagem de 1kg.",700.00,KG,"",""
54100,2017,1,76,"LEITE EM PÓ INTEGRAL, SEM ADIÇÃO DE AÇÚCAR E SORO, PRODUTO OBTIDO POR DESIDRATAÇÃO DO LEITE DE VACA INTEGRAL E APTO PARA A ALIMENTAÇÃO HUMANA MEDIANTE PROCESSOS TECNOLOGICAMENTE ADEQUADOS. NA INFORMAÇÃO NUTRICIONAL, O PRODUTO DEVE CONTER DESCRIÇÃO DE CARBOIDRATOS, PROTEÍNAS, GORDURAS TOTAIS E SATURADAS, SÓDIO E CÁLCIO. EMBALAGEM: PAPEL METALIZADO. PESO LÍQUIDO 1000G.",800.00,KG,"",""
54100,2017,1,27,"LEITE EM PÓ INTEGRAL, SEM ADIÇÃO DE AÇÚCAR E SORO, PRODUTO OBTIDO POR DESIDRATAÇÃO DO LEITE DE VACA INTEGRAL E APTO PARA A ALIMENTAÇÃO HUMANA MEDIANTE PROCESSOS TECNOLOGICAMENTE ADEQUADOS. NA INFORMAÇÃO NUTRICIONAL, O PRODUTO DEVE CONTER DESCRIÇÃO DE CARBOIDRATOS, PROTEÍNAS, GORDURAS TOTAIS E SATURADAS, SÓDIO E CÁLCIO. EMBALAGEM: PAPEL METALIZADO. PESO LÍQUIDO 1000G.",1200.00,KG,"",""
52300,2017,4,1,"Arroz branco - tipo 1 - subgrupo polido, embalagem transparente de 1kg.",1000.00,KG,"",""
52300,2017,4,2,"Arroz parboilizado - tipo 1 - longo, fino, embalagem transparente de 1kg.",2000.00,KG,"",""
52300,2017,4,6,"Leite em pó integral, instantâneo, embalagem de 1kg de poliéster metalizado.",3000.00,KG,"",""
52300,2017,4,8,"Óleo de soja refinado, em embalagem de 900mL.",1500.00,UN,"",""
52300,2017,4,4,"Feijão carioca, 1ª qualidade, embalagem transparente de 1kg.",500.00,KG,"",""
52300,2017,4,3,"Feijão preto, grupo 1, 1ª qualidade, embalagem transparente de 1kg.",1000.00,KG,"",""
79500,2017,1,1,"SOLICITO PROVIDENCIA AQUISIÇÃO DE SUCO DE UVA BORDÔ NATURAL E INTEGRAL, SEM ADIÇÃO DE CORANTES, CONSERVANTES OU AÇÚCARES, EMBALADO EM GARRAFA DE VIDRO HERMETICAMENTE FECHADO E ROTULADO, ATRAVÉS DE CHAMADA PÚBLICA/AQUISIÇÃO DE ALIMENTOS DA AGRICULTURA FAMILIAR, CONFORME ART. 14 DA LEI Nº11.947 DE 16 DE JULHO DE 2011, PARA AS ESCOLAS DE ENSINO FUNDAMENTAL E EDUCAÇÃO INFANTIL, PARA O ANO DE 2017.",1000.00,L,8.00,8000.00
45500,2017,1,6,LARANJA,350.00,KG,1.00,350.00
88041,2017,13,10,MORANGO,40.00,KG,19.00,760.00
79500,2017,3,1,"AQUISIÇÃO DE ALIMENTOS DA AGRICULTURA FAMILIAR DESTINADOS A MERENDA ESCOLAR DA EDUCAÇÃO INFANTIL E DO ENSINO FUNDAMENTAL, CONFORME ART. 14 DA LEI Nº 11.947 DE 16 DE JULHO DE 2011, PARA O PERÍODO LETIVO 2018.",150.00,UN,111.516,16727.40
54100,2017,2,20,"SUCO DE UVA PRETA PREPARADO SEM ADIÇÃO DE  AÇUCAR,  ÁGUA, PRODUTOS QUIMICOS,  CONSERVANTES, CORANTES,  ESTABILIZANTES, RÓTULO CONTENDO OS INGREDIENTES, INFORMAÇÃO NUTRICIONAL E DATA DE FABRICAÇÃO.VALIDADE 12 MESES EMBALAGEM PRIMÁRIA EM VIDRO DE 1 A 2 LITROS E SECUNDÁRIA CAIXA DE PAPELÃO REFORÇADO.",400.00,L,"",""
54100,2017,2,27,"CEBOLA, TIPO SALADA, LISA, COM POLPA INTACTA E LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA, MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE. LIVRE DA MAIOR PARTE POSSÍVEL DE TERRA ADERENTE À CASCA E DE RESÍDUOS DE FERTILIZANTES. ISENTA DE UMIDADE EXTERNA ANORMAL. PROCEDENTE DE COLHEITA RECENTE.",600.00,KG,"",""
54100,2017,2,49,"TOMATE SALADA, FRESCO, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE. ",1250.00,KG,"",""
54100,2017,2,47,"REPOLHO, LISO, FRESCO, FIRME, COM COLORAÇÃO E TAMANHO UNIFORMES E TÍPICOS DA VARIEDADE, SEM SUJIDADES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE, LIVRE DE RESÍDUOS DE FERTILIZANTES. PROCEDENTE DE COLHEITA RECENTE.",1500.00,KG,"",""
54100,2017,2,48,"SUCO DE UVA PRETA PREPARADO SEM ADIÇÃO DE  AÇUCAR,  ÁGUA, PRODUTOS QUIMICOS,  CONSERVANTES, CORANTES,  ESTABILIZANTES, RÓTULO CONTENDO OS INGREDIENTES, INFORMAÇÃO NUTRICIONAL E DATA DE FABRICAÇÃO.VALIDADE 12 MESES EMBALAGEM PRIMÁRIA EM VIDRO DE 1 A 2 LITROS E SECUNDÁRIA CAIXA DE PAPELÃO REFORÇADO.",600.00,L,"",""
54100,2017,2,56,"CEBOLA, TIPO SALADA, LISA, COM POLPA INTACTA E LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA, MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE. LIVRE DA MAIOR PARTE POSSÍVEL DE TERRA ADERENTE À CASCA E DE RESÍDUOS DE FERTILIZANTES. ISENTA DE UMIDADE EXTERNA ANORMAL. PROCEDENTE DE COLHEITA RECENTE.",400.00,KG,"",""
54100,2017,1,16,"CAQUI DE CHOCOLATE PRETO, COR ALARANJADA, COM POLPA DE COR ESCURA, COLORAÇÃO UNIFORME, FIRME E LIVRE DE RACHADURAS. EMBALAGEM SECUNDÁRIA: CAIXA.",5000.00,KG,"",""
54100,2017,1,17,"CEBOLA, TIPO SALADA, LISA, COM POLPA INTACTA E LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA, MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE. LIVRE DA MAIOR PARTE POSSÍVEL DE TERRA ADERENTE À CASCA E DE RESÍDUOS DE FERTILIZANTES. ISENTA DE UMIDADE EXTERNA ANORMAL. PROCEDENTE DE COLHEITA RECENTE.",4500.00,KG,"",""
54100,2017,1,22,"GRÃO DE MILHO PARA PIPOCA, TIPO 1. OS GRÃOS PODERÃO TER FORMATO ACHATADO OU PONTIAGUDO. DEVERÁO SER DE COLHEITA RECENTE E POSSUIR, NO MÁXIMO, 15% DE UMIDADE. PACOTE DE POLIETILENO ATÓXICO, RESISTENTE, COM PESO LÍQUIDO A PARTIR DE 500G.",150.00,KG,"",""
54100,2017,1,71,"GRÃO DE MILHO PARA PIPOCA, TIPO 1. OS GRÃOS PODERÃO TER FORMATO ACHATADO OU PONTIAGUDO. DEVERÁO SER DE COLHEITA RECENTE E POSSUIR, NO MÁXIMO, 15% DE UMIDADE. PACOTE DE POLIETILENO ATÓXICO, RESISTENTE, COM PESO LÍQUIDO A PARTIR DE 500G.",100.00,KG,"",""
54100,2017,1,82,"REPOLHO, LISO, FRESCO, FIRME, COM COLORAÇÃO E TAMANHO UNIFORMES E TÍPICOS DA VARIEDADE, SEM SUJIDADES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE, LIVRE DE RESÍDUOS DE FERTILIZANTES. PROCEDENTE DE COLHEITA RECENTE.",3000.00,KG,"",""
54100,2017,1,84,"SUCO DE LARANJA INTEGRAL, SEM ADIÇÃO DE ÁGUA E AÇÚCAR NA SUA CONCENTRAÇÃO NATURAL. RÓTULO CONTENDO OS INGREDIENTES, INFORMAÇÃO NUTRICIONAL E DATA DE FABRICAÇÃO.VALIDADE 12 MESES EMBALAGEM PRIMÁRIA EM VIDRO DE 1 A 2 LITROS E SECUNDÁRIA CAIXA DE PAPELÃO REFORÇADO.",4000.00,L,"",""
54100,2017,1,26,"LARANJA, COMUM, COM GRAU DE MATURAÇÃO TAL QUE LHE PERMITA SUPORTAR TRANSPORTE, MANIPULAÇÃO E CONSERVAÇÃO ADEQUADA PARA CONSUMO MEDIATO E IMEDIATO, TAMANHO MÉDIO, APRESENTANDO COR, TAMANHO E CONFORMAÇÃO UNIFORMES, SEM MANCHAS, MACHUCADURAS, BOLORES, SUJIDADES, FERRUGEM OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE, LIVRE DE RESÍDUOS DE FERTILIZANTES. PROCEDENTE DE COLHEITA RECENTE.",3000.00,KG,"",""
54100,2017,1,36,"SUCO DE UVA PRETA PREPARADO SEM ADIÇÃO DE  AÇUCAR,  ÁGUA, PRODUTOS QUIMICOS,  CONSERVANTES, CORANTES,  ESTABILIZANTES, RÓTULO CONTENDO OS INGREDIENTES, INFORMAÇÃO NUTRICIONAL E DATA DE FABRICAÇÃO.VALIDADE 12 MESES EMBALAGEM PRIMÁRIA EM VIDRO DE 1 A 2 LITROS E SECUNDÁRIA CAIXA DE PAPELÃO REFORÇADO.",6000.00,L,"",""
54100,2017,1,38,"TOMATE SALADA, FRESCO, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE. ",3500.00,KG,"",""
54100,2017,1,40,"BATATA DOCE, LISA, COM POLPA INTACTA LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA, MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR A SUA APARÊNCIA E QUALIDADE, LIVRE DA MAIOR PARTE POSSÍVEL DE TERRA ADERENTE À CASCA E RESÍDUOS DE FERTILIZANTES, ISENTA DE UMIDADE EXTERNA ANORMAL. PROCEDENTE DE COLHEITA RECENTE. ",360.00,KG,"",""
54100,2017,1,45,"FEIJÃO PRETO TIPO 1, ISENTO DE MATÉRIA TERROSA, DE PARASITAS, DE DETRITOS ANIMAIS OU VEGETAIS, PEDAÇOS DE GRÃOS ARDIDOS, BROTADOS, CHOCHOS, IMATUROS, MOFADOS, CARUNCHADOS, SAFRA NOVA. EMBALAGEM: PACOTE  POLIETILENO ATÓXICO, PESO LÍQUIDO 1KG.",500.00,KG,"",""
54100,2017,1,44,"CEBOLA, TIPO SALADA, LISA, COM POLPA INTACTA E LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA, MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR SUA APARÊNCIA E QUALIDADE. LIVRE DA MAIOR PARTE POSSÍVEL DE TERRA ADERENTE À CASCA E DE RESÍDUOS DE FERTILIZANTES. ISENTA DE UMIDADE EXTERNA ANORMAL. PROCEDENTE DE COLHEITA RECENTE.",500.00,KG,"",""
54100,2017,1,50,"AÇÚCAR, TIPO CRISTAL, BRANCO, DE PRIMEIRA QUALIDADE, ORIGEM VEGETAL, CONTENDO NO MÍNIMO 98% DE SACAROSE DE CANA-DE-AÇÚCAR, LIVRE DE FERMENTAÇÃO, ISENTO DE MATÉRIA TERROSA, DE PARASITOS E DETRITOS. EMBALAGEM: PACOTE DE POLIETILENO ATÓXICO, PESO LÍQUIDO DE 1 A 2KG.",200.00,KG,"",""
54100,2017,1,54,"BATATA DOCE, LISA, COM POLPA INTACTA LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA, MANCHAS, MACHUCADURAS, BOLORES OU OUTROS DEFEITOS QUE POSSAM ALTERAR A SUA APARÊNCIA E QUALIDADE, LIVRE DA MAIOR PARTE POSSÍVEL DE TERRA ADERENTE À CASCA E RESÍDUOS DE FERTILIZANTES, ISENTA DE UMIDADE EXTERNA ANORMAL. PROCEDENTE DE COLHEITA RECENTE. ",840.00,KG,"",""
54100,2017,1,92,"SUCO DE UVA PRETA PREPARADO SEM ADIÇÃO DE  AÇUCAR,  ÁGUA, PRODUTOS QUIMICOS,  CONSERVANTES, CORANTES,  ESTABILIZANTES, RÓTULO CONTENDO OS INGREDIENTES, INFORMAÇÃO NUTRICIONAL E DATA DE FABRICAÇÃO.VALIDADE 12 MESES EMBALAGEM PRIMÁRIA EM VIDRO DE 1 A 2 LITROS E SECUNDÁRIA CAIXA DE PAPELÃO REFORÇADO.",2000.00,L,"",""
54100,2017,1,1,"AÇÚCAR MASCAVO. PÓ HOMOGÊNEO, PARTÍCULAS FINAS, ASPECTO SECO, NÃO EMPEDRADO, COR MARROM CLARO E ESCURO, AROMA E SABOR DOCE SEMELHANTE AO DE RAPADURA. ROTULADO CONFORME LEGISLAÇÃO VIGENTE, COM INFORMAÇÃO NUTRICIONAL, NÚMERO DE LOTE, PESO, VALIDADE MÍNIMA DE 03 MESES A PARTIR DA DATA DE ENTREGA.",300.00,KG,"",""
54100,2017,1,9,"BETERRABA, LISA, COM POLPA INTACTA E LIMPA, COM COLORAÇÃO E TAMANHO UNIFORMES TÍPICOS DA VARIEDADE, SEM BROTOS, RACHADURAS OU CORTES NA CASCA. ",2500.00,KG,"",""
