nr_documento_contratado,ano,cep_estab,cnae_2_0_classe,cnae_2_0_classe_2,cnpj_cei,natureza_juridica,porte_estabelecimento,qtd_estoque_aprendiz_ativo,qtd_estoque_clt_defic_ativo,qtd_estoque_estat_defic_ativo,qtd_portador_defic,qtd_vinculos_ativos,qtd_vinculos_clt,qtd_vinculos_estatutarios,razao_social,tamanho_estabelecimento,uf
94890266000109,2017,96.170.000,1610,Atividades de Apoio,94.890.266/0001-09,Cooperativa,Outros,0,0,0,0,47,47,0,COOPERATIVA MISTA DOS PEQUENOS AGRICULTORES DA REGIA,De 20 a 49,43 - Rio Grande do S
07485034000162,2017,96.170.000,10996,Fabricação de Produt,07.485.034/0001-62,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,MIRIAN ROZANE BRITTO DA COSTA                      ,0 Empregado,43 - Rio Grande do S
14789447000104,2017,97.195.000,10333,Fabricação de Sucos,14.789.447/0001-04,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,TORRI & TORRI LTDA ME                              ,0 Empregado,43 - Rio Grande do S
09341805000173,2017,97.250.000,94308,Atividades de Associ,09.341.805/0001-73,Outras Organizações,Outros,0,0,0,0,0,0,0,ASSOCIACAO REMANESCENTE QUILOMBO VOVO ISABEL       ,0 Empregado,43 - Rio Grande do S
11396328000195,2017,96.600.000,46231,Comércio Atacadista,11.396.328/0001-95,Cooperativa,Outros,0,0,0,0,8,8,0,COOPERATIVA UNIAO DOS AGRICULTORES FAMIL           ,De 5 a 9,43 - Rio Grande do S
11185973000169,2017,96.816.330,1610,Atividades de Apoio,11.185.973/0001-69,Cooperativa,Outros,0,0,0,0,2,2,0,COOPERATIVA REGIONAL DE ALIMENTOS SANTA            ,De 1 a 4,43 - Rio Grande do S
17821228000145,2017,96.880.000,46338,Comércio Atacadista,17.821.228/0001-45,Cooperativa,Outros,0,0,0,0,0,0,0,COOP MISTA AGRIC FAMILIARES DE VERA CRUZ COOPERVEC ,0 Empregado,43 - Rio Grande do S
89774160000100,2017,95.890.000,10121,"Abate de Suínos, Ave",89.774.160/0001-00,Cooperativa,Outros,3,3,0,3,89,89,0,COOPERATIVA LANGUIRU LTDA                          ,De 50 a 99,43 - Rio Grande do S
88587357002455,2017,95.335.000,47113,Comércio Varejista d,88.587.357/0024-55,Cooperativa,Outros,1,1,0,1,15,15,0,COOPERATIVA SANTA CLARA LTDA                       ,De 10 a 19,43 - Rio Grande do S
27520930000122,,,,,,,,,,,,,,,,,
10264853000194,2017,99.220.000,10333,Fabricação de Sucos,10.264.853/0001-94,Sociedade Qt Ltda,Microempresa,0,0,0,0,1,1,0,FABIO BAGGIO & CIA LTDA                            ,De 1 a 4,43 - Rio Grande do S
06101295000179,2017,95.185.000,10317,Fabricação de Conser,06.101.295/0001-79,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,F FOPPA AGROINDUSTRIA E SERVICOS  ME               ,0 Empregado,43 - Rio Grande do S
05047086000121,2017,99.709.436,47121,Comércio Varejista d,05.047.086/0001-21,Cooperativa,Outros,0,0,0,0,8,8,0,COOPERATIVA DE PRODUCAO E CONSUMO FAMILIAR NOSSA TER,De 5 a 9,43 - Rio Grande do S
14034692000101,2017,98.500.000,10333,Fabricação de Sucos,14.034.692/0001-01,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,LEILA TERESINHA SESTARI GUERRA                     ,0 Empregado,43 - Rio Grande do S
90049156000150,2017,95.720.000,11127,Fabricação de Vinho,90.049.156/0001-50,Cooperativa,Outros,9,4,0,4,180,180,0,COOPERATIVA VINICOLA GARIBALDI LTDA                ,De 100 a 249,43 - Rio Grande do S
21850845000146,2017,98.920.000,10317,Fabricação de Conser,21.850.845/0001-46,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,AGROINDUSTRIA POLPAS DE FRUTAS CITRICAS DO ABREU LTD,0 Empregado,43 - Rio Grande do S
88587357000592,2017,95.185.000,10121,"Abate de Suínos, Ave",88.587.357/0005-92,Cooperativa,Outros,11,5,0,5,226,226,0,COOPERATIVA SANTA CLARA LTDA                       ,De 100 a 249,43 - Rio Grande do S
05728869000170,2017,95.975.000,10333,Fabricação de Sucos,05.728.869/0001-70,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,INDUSTRIA DE SUCOS PUTINGUENSE LTDA                ,0 Empregado,43 - Rio Grande do S
10378011000163,2017,98.400.000,47296,Comércio Varejista d,10.378.011/0001-63,Cooperativa,Outros,0,0,0,0,1,1,0,COOP DOS PROD RURAIS  AGRIC FAMILIAR FW            ,De 1 a 4,43 - Rio Grande do S
09014609000194,2017,98.480.000,46338,Comércio Atacadista,09.014.609/0001-94,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA MISTA DE PROD EXTREMO NORTE           ,0 Empregado,43 - Rio Grande do S
05904624000157,2017,98.780.765,47296,Comércio Varejista d,05.904.624/0001-57,Cooperativa,Outros,0,0,0,0,5,5,0,COOPERATIVA CENTRAL DA AGRICULTURA FAMILIAR LTDA   ,De 5 a 9,43 - Rio Grande do S
12448006000105,2017,95.360.000,10333,Fabricação de Sucos,12.448.006/0001-05,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,SILVONEI ZANON                                     ,0 Empregado,43 - Rio Grande do S
03034075000181,2017,99.950.000,47890,Comércio Varejista d,03.034.075/0001-81,Cooperativa,Outros,0,0,0,0,10,10,0,COOPERATIVA DE PRODUCAO AGROPECUARIA TERRA E VIDA LT,De 10 a 19,43 - Rio Grande do S
03834521000132,2017,98.380.000,10325,Fabricação de Conser,03.834.521/0001-32,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,INDUSTRIA DE DOCES E CONSERVAS KINKAS LTDA         ,0 Empregado,43 - Rio Grande do S
09488055000167,2017,98.160.000,1610,Atividades de Apoio,09.488.055/0001-67,Cooperativa,Outros,0,0,0,0,0,0,0,COOPIVORA                                          ,0 Empregado,43 - Rio Grande do S
02701335000162,2017,95.185.000,10945,Fabricação de Massas,02.701.335/0001-62,Sociedade Qt Ltda,Microempresa,0,0,0,0,12,12,0,SALETE MARIA GASPERIN E CIA LTDA                   ,De 10 a 19,43 - Rio Grande do S
07635210000286,2017,95.240.000,46231,Comércio Atacadista,07.635.210/0002-86,Cooperativa,Outros,0,0,0,0,1,1,0,COOPERATIVA REG PRODUTORES ECOLOGISTAS LIT NORTE RS,De 1 a 4,43 - Rio Grande do S
20087710000108,2017,97.400.000,94308,Atividades de Associ,20.087.710/0001-08,Outras Organizações,Outros,0,0,0,0,0,0,0,ASSOC DE PEQ PROD DA AGROIND FAMILIAR PASSO DA CLARA,0 Empregado,43 - Rio Grande do S
22469865000134,2017,97.010.970,1610,Atividades de Apoio,22.469.865/0001-34,Cooperativa,Outros,0,0,0,0,0,0,0,CENTRAL DE COOP DA AGRICULTURA FAMILIAR UNICENTRAL ,0 Empregado,43 - Rio Grande do S
94480217000190,2017,99.010.102,94995,Atividades Associati,94.480.217/0001-90,Cooperativa,Outros,0,0,0,0,0,0,0,COOP MISTA E DE TRABALHO ALTERNATIVA LTD           ,0 Empregado,43 - Rio Grande do S
89982268000260,2017,98.400.000,47113,Comércio Varejista d,89.982.268/0002-60,Cooperativa,Outros,4,2,0,2,52,52,0,COOPERATIVA TRITICOLA FREDERICO WESTPHALEN LTDA    ,De 50 a 99,43 - Rio Grande do S
16741146000128,2017,98.920.000,47245,Comércio Varejista d,16.741.146/0001-28,Cooperativa,Outros,0,0,0,0,2,2,0,COOP PROD AGROINDUSTRIAL FAMILIAR CENTRAL COM DE HOR,De 1 a 4,43 - Rio Grande do S
09406013000130,2017,99.580.000,47211,Comércio Varejista d,09.406.013/0001-30,Sociedade Qt Ltda,Microempresa,0,0,0,0,4,4,0,ERNESTO ZAMBENEDETTI E CIA LTDA   ME               ,De 1 a 4,43 - Rio Grande do S
05371648000198,2017,99.585.000,10333,Fabricação de Sucos,05.371.648/0001-98,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,BALDUINO TOLOTTI                                   ,0 Empregado,43 - Rio Grande do S
06154922000130,,,,,,,,,,,,,,,,,
21146580000108,2017,92.010.300,86305,Atividades de Atençã,21.146.580/0001-08,Sociedade Qt Ltda,Pequeno Porte,0,0,0,0,0,0,0,MAXXI CONSULTAS MEDICAS LTDA EPP                   ,0 Empregado,43 - Rio Grande do S
07882029000193,2017,99.800.000,46311,Comércio Atacadista,07.882.029/0001-93,Cooperativa,Outros,0,0,0,0,1,1,0,COOPERATIVA AGRIC FAM MARCELINOS RAMOS COCEL LTDA  ,De 1 a 4,43 - Rio Grande do S
24672562000140,2017,98.460.000,87115,Atividades de Assist,24.672.562/0001-40,Firma Mercantil Indi,Microempresa,0,0,0,0,9,9,0,JOSE L DE ALMEIDA ME                               ,De 5 a 9,43 - Rio Grande do S
89305239005657,2017,95.960.000,47113,Comércio Varejista d,89.305.239/0056-57,Cooperativa,Outros,5,5,0,5,97,97,0,COOP DOS SUINOCULTORES DE ENCANTADO LTDA           ,De 50 a 99,43 - Rio Grande do S
12184219000177,2017,95.700.112,94995,Atividades Associati,12.184.219/0001-77,Outras Organizações,Outros,0,0,0,0,0,0,0,ASSOCIACAO DOS AGRICULTORES FAMILIARES DE BENTO    ,0 Empregado,43 - Rio Grande do S
01131231000105,2017,92.480.000,46320,Comércio Atacadista,01.131.231/0001-05,Cooperativa,Outros,0,0,0,0,0,0,0,COOP DE PROD AGROPEC SETE DE JULHO                 ,0 Empregado,43 - Rio Grande do S
16992534000181,2017,99.980.000,1636,Atividades de Pós-Co,16.992.534/0001-81,Cooperativa,Outros,0,0,0,0,1,1,0,COOP DE FRUTICULTORES FAMILIARES COOPAF            ,De 1 a 4,43 - Rio Grande do S
08602228000163,2017,98.125.000,94995,Atividades Associati,08.602.228/0001-63,Outras Organizações,Outros,0,0,0,0,1,1,0,ASSOC DOS FEIRANTES DE FORT DOS VALOS              ,De 1 a 4,43 - Rio Grande do S
06316591000197,2017,97.670.000,94308,Atividades de Associ,06.316.591/0001-97,Outras Organizações,Outros,0,0,0,0,4,4,0,ASSOCIACAO DOS COLABORADORES DE PROTECAO           ,De 1 a 4,43 - Rio Grande do S
02794010000171,2017,99.265.000,10333,Fabricação de Sucos,02.794.010/0001-71,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,IRMAOS KOBELINSKI LTDA                             ,0 Empregado,43 - Rio Grande do S
12849375000100,2017,98.435.000,47121,Comércio Varejista d,12.849.375/0001-00,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA DOS PEQUENOS PRODUTORES FAMILIARES DE PI,0 Empregado,43 - Rio Grande do S
90430414000143,2017,96.010.971,47245,Comércio Varejista d,90.430.414/0001-43,Cooperativa,Outros,0,0,0,0,4,4,0,COOPAPICFRUTIC ZONA SUL                         ,De 1 a 4,43 - Rio Grande do S
12877184000151,2017,96.060.000,46338,Comércio Atacadista,12.877.184/0001-51,Cooperativa,Outros,0,0,0,0,13,13,0,COOPERATIVA DOS PRODUTORES AGRICOLAS DO            ,De 10 a 19,43 - Rio Grande do S
88587357003001,2017,95.052.100,46311,Comércio Atacadista,88.587.357/0030-01,Cooperativa,Outros,2,0,0,0,30,30,0,COOPERATIVA SANTA CLARA LTDA                       ,De 20 a 49,43 - Rio Grande do S
08616387000117,2017,95.538.000,1610,Atividades de Apoio,08.616.387/0001-17,Cooperativa,Outros,0,0,0,0,5,5,0,COOPERATIVA MISTA DE AGRIC FAM DE ITATI            ,De 5 a 9,43 - Rio Grande do S
14506106000176,2017,95.300.000,46371,Comércio Atacadista,14.506.106/0001-76,Cooperativa,Outros,0,0,0,0,1,1,0,COOPERATIVA  LAGOENSE DE AGRICULTURA               ,De 1 a 4,43 - Rio Grande do S
17600767000154,2017,93.180.000,10911,Fabricação de Produt,17.600.767/0001-54,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,AGROINDUSTRIA KIKORV LTDA ME                       ,0 Empregado,43 - Rio Grande do S
19834864000137,2017,94.750.000,46338,Comércio Atacadista,19.834.864/0001-37,Cooperativa,Outros,0,0,0,0,4,4,0,COOPERATIVA MISTA CAMPOS DE VIAMAO LTDA            ,De 1 a 4,43 - Rio Grande do S
29136425000104,,,,,,,,,,,,,,,,,
11069140000132,2017,95.380.000,10112,"Abate de Reses, Exce",11.069.140/0001-32,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA MISTA AGROINDUSTRIAL DOS REASSENTADOS ES,0 Empregado,43 - Rio Grande do S
12309267000225,,,,,,,,,,,,,,,,,
91949420000174,2017,98.855.000,11127,Fabricação de Vinho,91.949.420/0001-74,Sociedade Qt Ltda,Microempresa,0,0,0,0,1,1,0,VINICOLA FIN LTDA                                  ,De 1 a 4,43 - Rio Grande do S
04642568000167,2017,95.720.000,11127,Fabricação de Vinho,04.642.568/0001-67,Cooperativa,Microempresa,0,0,0,0,3,3,0,COOPEG COOP DE PRODUTORES ECOLOGISTAS DE GARIBALDI L,De 1 a 4,43 - Rio Grande do S
29682996000144,,,,,,,,,,,,,,,,,
91589507000854,2017,93.990.000,47113,Comércio Varejista d,91.589.507/0008-54,Cooperativa,Outros,0,1,0,1,23,23,0,COOPERATIVA AGROPECUARIA PETROPOLIS LTDA           ,De 20 a 49,43 - Rio Grande do S
14169702000108,2017,95.074.307,46320,Comércio Atacadista,14.169.702/0001-08,Cooperativa,Pequeno Porte,0,0,0,0,11,11,0,COOPDE AGRICULT E AGROINDFAMDE CX LT           ,De 10 a 19,43 - Rio Grande do S
01526764000188,2017,95.250.000,10333,Fabricação de Sucos,01.526.764/0001-88,Cooperativa,Outros,0,0,0,0,2,2,0,COOPERATIVA AECIA DE AGRIC ECOLOGISTAS            ,De 1 a 4,43 - Rio Grande do S
07775105000161,2017,96.190.000,46231,Comércio Atacadista,07.775.105/0001-61,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA AGROPECUARIA CENTRO SUL COOPACS LTDA   ,0 Empregado,43 - Rio Grande do S
02672101000134,2017,95.275.000,47113,Comércio Varejista d,02.672.101/0001-34,Cooperativa,Outros,0,0,0,0,8,8,0,COOPERATIVA AGRICOLA NOVA PADUA LTDA               ,De 5 a 9,43 - Rio Grande do S
18039013000130,2017,96.212.740,3116,Pesca em água Salgad,18.039.013/0001-30,Cooperativa,Outros,0,0,0,0,0,0,0,COOPESMI                                           ,0 Empregado,43 - Rio Grande do S
88587357001807,2017,95.360.000,47113,Comércio Varejista d,88.587.357/0018-07,Cooperativa,Outros,2,1,0,1,24,24,0,COOPERATIVA SANTA CLARA LTDA                       ,De 20 a 49,43 - Rio Grande do S
04582471000106,2017,95.330.000,11127,Fabricação de Vinho,04.582.471/0001-06,Sociedade Qt Ltda,Outros,0,0,0,0,0,0,0,VINICOLA SIMONETTO LTDA                           ,0 Empregado,43 - Rio Grande do S
