id_estado,nm_municipio,licitacao_ano,nr_item,ds_item,qt_itens_licitacao,vl_unitario_estimado,vl_total_estimado,contrato_ano,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
43,Santo Expedito do Sul,1/2017,32,"Pão tipo francês, embalado, unidade de 50 gr ",60 KG,0,0,70/2017,60 KG,10.82,649.2
43,Santo Expedito do Sul,1/2017,31,"Pão cahorro quente, undade de 50 gr",60 KG,0,0,70/2017,60 KG,10.92,655.2
43,Santo Expedito do Sul,1/2017,29,"Massa tipo espaguete, tipo, embalado, congelado",60 KG,0,0,70/2017,60 KG,10.8,648
43,Santo Expedito do Sul,1/2017,28,"Massa tipo fina, tipo caseira, embalada, rotulada, congelada",12 KG,0,0,70/2017,12 KG,10.8,129.6
43,Santo Expedito do Sul,1/2017,27,"Macarrão tipo caseiro, inspecionado, embalado",60 KG,0,0,70/2017,60 KG,10.8,648
43,Santo Expedito do Sul,1/2017,17,"Cuca caseira, embalado e rotulada",60 KG,0,0,70/2017,60 KG,9.98,598.8
43,Não-Me-Toque,3/2017,5,"Ovos de galinha - duzias, frescos, tipo médio, inspecionados com embalagem apropriada e data de validade",1000 DZ,4.5,4500,260/2017,1000 DZ,4.5,4500
43,Entre Rios do Sul,1/2017,1,Doce de fruta sabor morango,29 KG,14,406,153/2017,29 KG,14,406
43,Entre Rios do Sul,1/2017,2,Doce de fruta sabor  maçã,29 KG,12,348,153/2017,29 KG,12,348
43,Quatro Irmãos,13/2017,6,Mandioca,70 KG,3.3,231,14/2018,70 KG,3.3,231
43,Centenário,2/2017,4,"Alho de primeira qualidade - em bom estado para consumo, sem partes estragadas e podres. o produto não deverá apresentar umidade, problemas com coloração (escura), presença de impurezas, odor desagradável estar machucado, presença de dentes murchos e perfurados (kg).",20 UN,0,0,63/2017,20 UN,28.5,570
43,Centenário,2/2017,10,"Cebola - in natura, em bom estado de conservação, sem sujidades, sem partes podres, não estando """"murcho"""", embalado adequadamente em embalagens plásticas fechadas e limpas de 1 kg.",80 KG,0,0,63/2017,80 KG,4,320
43,Centenário,2/2017,16,"Limão taiti para suco - fruta in natura, sem sujidades, sem partes podres, sem amadurecimento excessivo ou verde que impossibilite o consumo, sem gomos secos, embalado adequadamente em plástico fechado e limpo (kg).",150 KG,0,0,63/2017,150 KG,4.25,637.5
43,Centenário,2/2017,19,"Milho verde com espiga - milho na espiga, sem sujidades, descascado, acondicionado em embalagens plásticas fechadas e limpas (unidade).",60 UN,0,0,63/2017,60 UN,1.5,90
43,Centenário,2/2017,23,"Repolho - vegetal em bom estado, sem folhas esmagadas, estragadas, sem sujidades e partes podres ou insetos, embalado adequadamente, limpo (kg).",50 KG,0,0,63/2017,50 KG,3.93,196.5
43,Não-Me-Toque,3/2017,16,"Bebida láctea: sabores diversos a combinar na ordem de compra, embalagem plástica, data de validade, peso líquido de 1 litro.",3100 UN,3.95,12245,265/2017,3100 UN,3.95,12245
43,Não-Me-Toque,3/2017,20,Queijo mussarela fatiado: fabricado com leite pasteurizado manipuladas em condições higiênicas satisfatórias,100 KG,31.9,3190,265/2017,100 KG,31.9,3190
43,Venâncio Aires,2/2017,7,"Arroz parboilizado, orgânico, tipo 1, classe longo fino, embalagem de 1kg.",700 KG,3.4,2380,102/2017,700 KG,3.4,2380
43,Quatro Irmãos,13/2017,10,Morango,40 KG,19,760,15/2018,40 KG,19,760
43,Santo Expedito do Sul,1/2017,14,"Couve-flor em folha, de tamanho médio, cor verde em toda a sua extensão embalado em molho",36 UN,0,0,71/2017,36 UN,4.82,173.52
43,Santo Expedito do Sul,1/2017,15,Couve-flor em perfeito estado de maturação e conservação.,54 UN,0,0,71/2017,54 UN,5.15,278.1
43,Santo Expedito do Sul,1/2017,16,Couve tipo chinesa,18 UN,0,0,71/2017,18 UN,5.13,92.34
43,Santo Expedito do Sul,1/2017,33,Pepino in natura,24 KG,0,0,71/2017,24 KG,4.4,105.6
43,Santo Expedito do Sul,1/2017,34,"Pimentão in natura, tamanho médio de cor verde",7 KG,0,0,71/2017,7 KG,7.42,51.94
43,Santo Expedito do Sul,1/2017,37,"Repolho branco, tamanho médio, sem sujidades",36 UN,0,0,71/2017,36 UN,3.9,140.4
43,Santo Expedito do Sul,1/2017,38,"Repolho roxo, tamanho médio sem sujidades",36 UN,0,0,71/2017,36 UN,4.2,151.2
43,Santo Expedito do Sul,1/2017,40,"Tempero verde, tipo cebolinha, de cor verde, embalada em molho",15 UN,0,0,71/2017,15 UN,3.83,57.45
43,Santo Expedito do Sul,1/2017,41,"Tempero verde, tipo salsa, de cor verde, embalada em molho",15 UN,0,0,71/2017,15 UN,3.58,53.7
43,Santo Expedito do Sul,1/2017,1,"Abobrinha italiana, de cor verde, tamanho médio",27 KG,0,0,71/2017,27 KG,3.98,107.46
43,Santo Expedito do Sul,1/2017,4,"Alface in natura, em bom estado de maturação e conservação",60 UN,0,0,71/2017,60 UN,1.75,105
43,Entre Rios do Sul,1/2017,11,Pão integral de 50g,270 KG,8.25,2227.5,150/2017,270 KG,8.25,2227.5
43,Entre Rios do Sul,1/2017,10,"Pão caseirinho de 50g, devidamente rotuladas.",290 KG,8.5,2465,150/2017,290 KG,8.5,2465
43,Entre Rios do Sul,1/2017,8,Massa caseira macarrão,310 KG,9,2790,150/2017,310 KG,9,2790
43,Entre Rios do Sul,1/2017,7,Massa caseira média,355 KG,9,3195,150/2017,355 KG,9,3195
43,Entre Rios do Sul,1/2017,4,"Cuca caseira, peso liquido 850g por unidade.",260 KG,11,2860,150/2017,260 KG,11,2860
43,Coronel Pilar,3/2017,1,Nata 350g,24 POT,4.05,97.2,56/2017,24 POT,4.05,97.2
43,Coronel Pilar,3/2017,2,Queijo mussarela fatiado,70 KG,30,2100,56/2017,70 KG,30,2100
43,Coronel Pilar,3/2017,4,Abóbora japonesa,12 KG,6.6,79.2,55/2017,12 KG,6.6,79.2
43,Coronel Pilar,3/2017,8,Batata doce,18 KG,3.35,60.3,55/2017,18 KG,3.35,60.3
43,Coronel Pilar,3/2017,19,Pêssego,45 KG,5.1,229.5,55/2017,45 KG,5.1,229.5
43,Coronel Pilar,3/2017,18,Morango,12 KG,15,180,55/2017,12 KG,15,180
43,Coronel Pilar,3/2017,7,Alface,12 UN,2,24,55/2017,12 UN,2,24
43,Coronel Pilar,3/2017,21,Tomate,92 KG,5.15,473.8,55/2017,92 KG,5.15,473.8
43,Coronel Pilar,3/2017,14,Cenoura,46 KG,3.95,181.7,55/2017,46 KG,3.95,181.7
43,Coronel Pilar,3/2017,9,Batata inglesa,66 KG,4.25,280.5,55/2017,66 KG,4.25,280.5
43,Coronel Pilar,3/2017,10,Bergamota,83 KG,3.65,302.95,55/2017,83 KG,3.65,302.95
43,Coronel Pilar,3/2017,12,Brócolis,46 UN,4.4,202.4,55/2017,46 UN,4.4,202.4
43,Coronel Pilar,3/2017,20,Tempero verde,23 MOL,2.4,55.2,55/2017,23 MOL,2.4,55.2
43,Coronel Pilar,3/2017,11,Beterraba,46 KG,3.6,165.6,55/2017,46 KG,3.6,165.6
43,Coronel Pilar,3/2017,15,Chuchu,23 KG,3.3,75.9,55/2017,23 KG,3.3,75.9
43,Coronel Pilar,3/2017,5,Abobrinha italiana,11 KG,4.5,49.5,55/2017,11 KG,4.5,49.5
43,Coronel Pilar,3/2017,6,Aipim,10 KG,3.3,33,55/2017,10 KG,3.3,33
43,Coronel Pilar,3/2017,13,Cebola,23 KG,2.4,55.2,55/2017,23 KG,2.4,55.2
43,Coronel Pilar,3/2017,17,Laranja comum,70 KG,3.3,231,55/2017,70 KG,3.3,231
43,Coronel Pilar,3/2017,3,Abacate,15 KG,5,75,55/2017,15 KG,5,75
43,Coronel Pilar,3/2017,16,Couve flor,23 UN,4.6,105.8,55/2017,23 UN,4.6,105.8
43,Ponte Preta,2/2017,4,Agnoline caseiro,20 KG,22.5,450,58/2017,20 KG,22.5,450
43,Ponte Preta,2/2017,1,"Aipim descascado/congelado, embalagem de 1kg",50 KG,5.74,287,59/2017,50 KG,5.74,287
43,Ponte Preta,2/2017,2,Alface crespa,160 UN,2.77,443.2,61/2017,160 UN,2.77,443.2
43,Ponte Preta,2/2017,3,Arroz branco orgânico,80 KG,3.78,302.4,57/2017,80 KG,3.78,302.4
43,Ponte Preta,2/2017,5,"Bebida láctea fermentada, diversos sabores, pacote de 1 litro",140 L,3.3,462,57/2017,140 L,3.3,462
43,Ponte Preta,2/2017,6,Beterraba (cada unidade com aprox. 100 gramas)',50 KG,3.9,195,61/2017,50 KG,3.9,195
43,Ponte Preta,2/2017,7,"Bolacha caseira, pacote de 1kg",60 KG,17.8,1068,62/2017,60 KG,17.8,1068
43,Ponte Preta,2/2017,8,Brócolis,60 UN,5.5,330,59/2017,60 UN,5.5,330
43,Ponte Preta,2/2017,9,Cebola,40 KG,4.1,164,59/2017,40 KG,4.1,164
43,Ponte Preta,2/2017,10,Cenoura (cada unidade com aprox. 80 gramas),40 KG,4.1,164,57/2017,40 KG,4.1,164
43,Ponte Preta,2/2017,11,Couve-flor (cada unidade com aprox. 700 gramas),60 UN,6.25,375,59/2017,60 UN,6.25,375
43,Ponte Preta,2/2017,12,"Cuca sovada tipo caseira, unidade com  aproximadamente 800g",40 KG,10.32,412.8,58/2017,40 KG,10.32,412.8
43,Ponte Preta,2/2017,13,"Carne suína magra, desossada congelada, preparada tipo bife de 5 cm",50 KG,11,550,63/2017,50 KG,11,550
43,Ponte Preta,2/2017,14,"Doce de frutas orgânico, em pote com 2 kg",8 UN,22.15,177.2,57/2017,8 UN,22.15,177.2
43,Ponte Preta,2/2017,15,"Farinha de milho, média, com ferro e ácido fólico, pacote de 1kg",40 KG,2.8,112,57/2017,40 KG,2.8,112
43,Ponte Preta,2/2017,16,"Feijão preto, tipo 1, limpo, pacote com 1 kg",20 KG,6.9,138,59/2017,20 KG,6.9,138
43,Ponte Preta,2/2017,17,"Linguiça de carne suína, magra, congelada",40 KG,12,480,63/2017,40 KG,12,480
43,Ponte Preta,2/2017,18,"Leite em pó integral, sem glúten, em pct com 01 kg",20 KG,21.5,430,57/2017,20 KG,21.5,430
43,Ponte Preta,2/2017,19,"Massa caseira, com ovos, pacote de 1 kg",80 KG,9.9,792,62/2017,80 KG,9.9,792
43,Ponte Preta,2/2017,20,Morango,80 KG,14.3,1144,60/2017,80 KG,14.3,1144
43,Ponte Preta,2/2017,21,"Moranga cabotiá descascada, embalada, pacote de 1 kg",80 KG,4.16,332.8,61/2017,80 KG,4.16,332.8
43,Ponte Preta,2/2017,22,"Pão integral fatiado, pacote com 500g",30 UN,7.4,222,62/2017,30 UN,7.4,222
43,Ponte Preta,2/2017,23,Pão de cachorro quente (pacotes com 20 unidades de 50 gramas),30 KG,14.15,424.5,58/2017,30 KG,14.15,424.5
43,Ponte Preta,2/2017,24,"Pão francês, unidade com 50 gramas, em pacotes com 20 unidades (aprox. 1 kg)",30 KG,10,300,62/2017,30 KG,10,300
43,Ponte Preta,2/2017,25,Pastel assado de frango 100g,600 UN,2,1200,62/2017,600 UN,2,1200
43,Ponte Preta,2/2017,26,"Panquecas, em unidade com aprox. 200 gramas",500 UN,2.8,1400,58/2017,500 UN,2.8,1400
43,Ponte Preta,2/2017,27,Polpa de tomate concentrado embalagens de 1 kg,40 KG,8,320,60/2017,40 KG,8,320
43,Ponte Preta,2/2017,28,Polpa de frutas natural,80 KG,9,720,60/2017,80 KG,9,720
43,Ponte Preta,2/2017,29,"Repolho branco, com aproximadamente 2 kg",140 KG,4,560,59/2017,140 KG,4,560
43,Ponte Preta,2/2017,30,"Sonho recheado assado, diversos sabores",450 UN,2,900,58/2017,450 UN,2,900
43,Ponte Preta,2/2017,31,Tomate,120 KG,5.15,618,57/2017,120 KG,5.15,618
43,Ponte Preta,2/2017,32,"Vinagre tinto, de uva, unidade com 2 litros",10 UN,12.5,125,59/2017,10 UN,12.5,125
43,Linha Nova,2/2017,1,"Abacaxi - tipos pérola, cayenne ou """"terra de areia""""",210 UN,5.12,1075.2,41/2017,210 UN,5.12,1075.2
43,Linha Nova,2/2017,2,Abobrinha - tipo italiana,20 KG,3.49,69.8,41/2017,20 KG,3.49,69.8
43,Linha Nova,2/2017,3,"Alface tipos crespa, americana ou lisa",45 UN,1.87,84.15,41/2017,45 UN,1.87,84.15
43,Linha Nova,2/2017,4,Alho nacional ou macho,10 KG,17,170,41/2017,10 KG,17,170
43,Linha Nova,2/2017,5,Banana prata ou branca,350 KG,4.12,1442,41/2017,350 KG,4.12,1442
43,Linha Nova,2/2017,6,Batata doce branca ou rosa,50 KG,2.3,115,41/2017,50 KG,2.3,115
43,Linha Nova,2/2017,7,Batata inglesa branca ou rosa,140 KG,4.25,595,41/2017,140 KG,4.25,595
43,Linha Nova,2/2017,8,Beterraba roxa,60 KG,3.85,231,41/2017,60 KG,3.85,231
43,Linha Nova,2/2017,9,Brócolis híbrido,100 UN,3.92,392,41/2017,100 UN,3.92,392
43,Linha Nova,2/2017,10,Cebola nacional branca,150 KG,4.37,655.5,41/2017,150 KG,4.37,655.5
43,Linha Nova,2/2017,11,Cenoura normal,90 KG,4,360,41/2017,90 KG,4,360
43,Linha Nova,2/2017,12,Chuchu branco ou verde,40 KG,3.83,153.2,41/2017,40 KG,3.83,153.2
43,Linha Nova,2/2017,13,Couve manteiga em folha,30 UN,2.55,76.5,41/2017,30 UN,2.55,76.5
43,Linha Nova,2/2017,14,Couve-flor normal,55 KG,4.11,226.05,41/2017,55 KG,4.11,226.05
43,Linha Nova,2/2017,15,"Feijão preto, tipo 1",50 KG,7.53,376.5,41/2017,50 KG,7.53,376.5
43,Linha Nova,2/2017,16,"Laranja para suco, tipo valência ou natal",330 KG,2.5,825,41/2017,330 KG,2.5,825
43,Linha Nova,2/2017,17,"Limão, tipos galego, taiti ou bergamota",85 KG,5.08,431.8,41/2017,85 KG,5.08,431.8
43,Linha Nova,2/2017,18,"Maçã tipo fuji, gala ou golden",230 KG,5.9,1357,41/2017,230 KG,5.9,1357
43,Linha Nova,2/2017,20,Mamão papaia (amazonas),50 KG,7.17,358.5,41/2017,50 KG,7.17,358.5
43,Linha Nova,2/2017,21,"Manga tipos tommy, palmer ou haden",120 KG,6.83,819.6,41/2017,120 KG,6.83,819.6
43,Linha Nova,2/2017,22,"Melancia híbrida, vermelha",300 KG,2.17,651,41/2017,300 KG,2.17,651
43,Linha Nova,2/2017,23,"Melão espanhol, gaúcho, pele de sapo, oranje",80 KG,4.3,344,41/2017,80 KG,4.3,344
43,Linha Nova,2/2017,24,Milho verde (emb. c/ 3 unid.),30 UN,3.72,111.6,41/2017,30 UN,3.72,111.6
43,Linha Nova,2/2017,25,Moranga cabotia ou preta,50 KG,3.46,173,41/2017,50 KG,3.46,173
43,Linha Nova,2/2017,26,Moranguinho (bandeja c/ +/- 300g),120 UN,4.87,584.4,41/2017,120 UN,4.87,584.4
43,Linha Nova,2/2017,27,Pepino salada,30 KG,3.5,105,41/2017,30 KG,3.5,105
43,Linha Nova,2/2017,28,Pera willians,30 KG,6.92,207.6,41/2017,30 KG,6.92,207.6
43,Linha Nova,2/2017,29,Rabanete redondo vermelho,40 KG,5.17,206.8,41/2017,40 KG,5.17,206.8
43,Linha Nova,2/2017,30,Repolho verde,70 KG,2.52,176.4,41/2017,70 KG,2.52,176.4
43,Linha Nova,2/2017,31,Tempero verde (salsa e cebolinha) (molho),15 UN,2.17,32.55,41/2017,15 UN,2.17,32.55
43,Linha Nova,2/2017,32,Tomate tipo longa vida ou paulista,200 KG,5.18,1036,41/2017,200 KG,5.18,1036
43,Giruá,1/2017,1,"Carne de gado moída de 2ª, não congelada, com inspeção sanitária, identificada  e registrada na secretaria de agricultura e abastecimento",1242 KG,11.89,14767.38,104/2017,1242 KG,12.5,15525
43,Giruá,1/2017,2,"Frango colonial resfriado, em pedaços",1284 KG,9,11556,108/2017,1284 KG,9,11556
43,Giruá,1/2017,3,Cuca diversos sabores,1212 KG,9,10908,106/2017,404 KG,9,3636
43,Giruá,1/2017,3,Cuca diversos sabores,1212 KG,9,10908,107/2017,403 KG,9,3627
43,Giruá,1/2017,3,Cuca diversos sabores,1212 KG,9,10908,109/2017,405 KG,9,3645
43,Giruá,1/2017,4,Pão de trigo  integral,1194 KG,9.5,11343,106/2017,398 KG,9.5,3781
43,Giruá,1/2017,4,Pão de trigo  integral,1194 KG,9.5,11343,107/2017,399 KG,9.5,3790.5
43,Giruá,1/2017,5,"Mandioca descascada, limpa, sem manchas e sem partes estragadas",657 KG,4,2628,115/2017,657 KG,4,2628
43,Giruá,1/2017,6,"Repolho verde, tamanho médio, limpo e sem partes estragadas",684 KG,2.5,1710,105/2017,684 KG,2.5,1710
43,Giruá,1/2017,7,"Alface, folhas verdes, sem partes murchas",3075 MOL,1.85,5688.75,105/2017,3075 MOL,1.85,5688.75
43,Giruá,1/2017,8,Tempero verde (cebolinha),1344 MOL,1.98,2661.12,105/2017,1344 MOL,1.98,2661.12
43,Giruá,1/2017,9,Tempero verde (salsinha),1344 MOL,1.98,2661.12,105/2017,1344 MOL,1.98,2661.12
43,São Valentim,2/2017,2,"Alho, in natura cabeça, de primeira qualidade, fisiologicamente desenvolvido, com bulbos curados sem danos mecânicos ou causado por pragas. ",2 PAC,41.8,100.32,121/2017,2 PAC,41.8,100.32
43,São Valentim,2/2017,4,"Batata doce, grau médio de amadurecimento, de 1ª qualidade, sem sujidades, ser de colheita recente, ser suficientemente desenvolvidas, com tamanho, aroma, sabor e cor próprios da espécie, não estar danificadas por qualquer lesão de origem física ou mecânica que afete a sua aparência, estar livre de ",68 KG,3.43,233.24,121/2017,68 KG,3.43,233.24
43,São Valentim,2/2017,5,"Beterraba, grau médio de amadurecimento de 1ª qualidade, in natura, lavada, unidade de tamanho médio, firme, sem perfurações, rachaduras ou brotamentos, cascas lisas e limpas e estar livre de terra aderente. boa apresentação ao exame visual.",130 KG,2.8,364,121/2017,130 KG,2.8,364
43,São Valentim,2/2017,8,"Bolacha caseira, deverá ser acondicionada em sacos plásticos transparente e atóxico limpo e não violado, resistente ao transporte e manuseio. deve constar na embalagem fabricante, a data de fabricação e validade, informação nutricional.",6 KG,15.5,93,120/2017,6 KG,15.5,93
43,São Valentim,2/2017,10,"Cenoura, grau médio de amadurecimento, de 1ª qualidade, in natura, de cor característica do produto, deverá estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de origem física ou mecânica, estar livre de terra aderente.",140 KG,2.63,368.2,121/2017,140 KG,2.63,368.2
43,São Valentim,2/2017,27,"Suco de uva integral (frasco de 1,5 litros), sem ser adoçado, de boa qualidade, com embalagens integras, lacradas, dentro do prazo de validade.",64 FR,15.78,1009.92,121/2017,64 FR,15.78,1009.92
43,São Valentim,2/2017,11,"Cuca simples caseira (kg), sabor, odor e cor característicos. produtos devem estar íntegros, ausência de sujidades e insetos. ausência de matéria prejudicial à saúde humana. embalagem: saco plástico, atóxico, resistente, contendo rótulo que informe: data de fabricação, data de validade e informações",96 KG,9.82,942.72,120/2017,96 KG,9.82,942.72
43,São Valentim,2/2017,12,"Doce de frutas pt 700gr, sabores diversos, produzido a partir de matérias-primas de ótima qualidade. deve constar na embalagem: data de fabricação e prazo de validade, informação nutricional e ingredientes. deve ser produzido de acordo com as boas práticas de manipulação de alimentos. embalados com ",24 UN,10.35,248.4,121/2017,24 UN,10.35,248.4
43,São Valentim,2/2017,13,"Doce de leite. produzido a partir de matérias-primas de ótima qualidade. deve constar na embalagem: data de fabricação e prazo de validade, informação nutricional e ingredientes. deve ser produzido de acordo com as boas práticas de manipulação de alimentos. embalados com pote de vidro resistente, ín",18 POT,15.22,273.96,121/2017,18 POT,15.22,273.96
43,São Valentim,2/2017,14,"Feijão preto tipo i, de 1ª qualidade, isento de matéria terrosa, de parasitas, de detritos de animais ou vegetais, de grãos mofados ou brotados.",148 KG,5.33,788.84,121/2017,148 KG,5.33,788.84
